Max_Gain,Average_Gain,Total_Gain,Min_Gain
0.000000,-0.047222,-1.699999,-0.100000
0.000000,-0.050000,-1.799999,-0.100000
0.000000,-0.047059,-1.599999,-0.100000
0.000000,-0.044118,-1.499999,-0.100000
0.000000,-0.043750,-1.399999,-0.100000
0.000000,-0.041935,-1.299999,-0.100000
0.000000,-0.041935,-1.299999,-0.100000
0.000000,-0.041935,-1.299999,-0.100000
0.000000,-0.041935,-1.299999,-0.100000
0.000000,-0.038710,-1.200000,-0.100000
0.000000,-0.040000,-1.200000,-0.100000
0.000000,-0.036667,-1.100000,-0.100000
0.000000,-0.040000,-1.200000,-0.100000
0.000000,-0.040000,-1.200000,-0.100000
0.000000,-0.034483,-1.000000,-0.100000
0.000000,-0.037931,-1.100000,-0.100000
0.000000,-0.037931,-1.100000,-0.100000
0.000000,-0.034483,-1.000000,-0.100000
0.000000,-0.037931,-1.100000,-0.100000
0.000000,-0.035714,-1.000000,-0.100000
0.000000,-0.035714,-1.000000,-0.100000
0.000000,-0.033333,-0.900000,-0.100000
0.000000,-0.030769,-0.800000,-0.100000
0.000000,-0.030769,-0.800000,-0.100000
0.000000,-0.030769,-0.800000,-0.100000
0.000000,-0.028000,-0.700000,-0.100000
0.000000,-0.028000,-0.700000,-0.100000
0.000000,-0.028000,-0.700000,-0.100000
0.000000,-0.028000,-0.700000,-0.100000
0.000000,-0.028000,-0.700000,-0.100000
0.000000,-0.021739,-0.500000,-0.100000
0.000000,-0.014286,-0.300000,-0.100000
0.000000,-0.005263,-0.100000,-0.100000
0.000000,-0.005263,-0.100000,-0.100000
0.000000,-0.005263,-0.100000,-0.100000
0.000000,-0.005263,-0.100000,-0.100000
0.000000,-0.005263,-0.100000,-0.100000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
