ID,Genotype,Energy,Age,Parent,Iteration
107,11000100111110101011,13.859763,1,10,2
108,11000100001110101011,14.905859,1,10,2
120,10001110100000110011,11.365824,1,17,2
136,01111011110010000001,13.167284,1,32,2
137,10101101101111011110,14.802956,1,36,2
138,10101101101111011110,12.949591,1,36,2
139,00111110010011110010,14.452151,1,39,2
140,00111110010011110010,14.470278,1,39,2
144,00000110011100010100,14.011533,1,42,2
145,11010110110111011001,14.589250,1,43,2
146,11010110110111011001,13.754803,1,43,2
164,11101101011010101110,12.767963,1,62,2
168,11110000000000110111,14.646865,1,66,2
171,01100101001010111100,8.931458,1,70,2
172,01100101001110111100,8.888310,1,70,2
173,11000110101001110011,6.276775,1,73,2
174,11000110101001110011,5.948332,1,73,2
175,11100110101111001100,4.933967,1,74,2
176,11100110101111001100,5.154930,1,74,2
177,10011111101101101011,8.087181,1,75,2
178,10011111101101111011,8.014918,1,75,2
179,11100010111010110000,7.851690,1,78,2
180,11100010111010110000,7.532597,1,78,2
181,11100000011011100110,6.374507,1,79,2
182,11000001011011100110,6.321107,1,79,2
183,01100110110010100111,8.218018,1,82,2
184,01110110110000100111,8.221411,1,82,2
185,10010011011100010010,7.839058,1,85,2
186,10010011011100010010,7.770750,1,85,2
187,01101101100110101010,5.423239,1,89,2
188,01101101100110101010,5.734769,1,89,2
189,10010110011110111011,8.848138,1,91,2
190,10010110010110111011,8.433421,1,91,2
191,01010010100011001001,7.866108,1,93,2
192,01010010100011001001,8.121811,1,93,2
193,10010001011110100000,8.503860,1,94,2
194,10011001011110100000,8.680327,1,94,2
195,10100101100000000001,8.324852,1,96,2
196,10100101100000000001,8.653137,1,96,2
197,01100001101100101011,6.319969,1,97,2
198,01100001101100101011,6.006029,1,97,2
199,01111111110001110010,5.749185,1,98,2
200,01111111110001110010,5.658874,1,98,2
201,00101101010100011110,7.534513,1,99,2
202,00001100010100111110,7.348019,1,99,2
204,00000111010000011101,10.848439,0,2,2
205,00000111010000011101,10.848439,0,2,2
206,10100111001000110110,10.970248,0,5,2
207,10100111001000110110,10.970248,0,5,2
